"Region","Local Health Area","Year","Gender","Total","LT1"," 1 to 4"," 5 to 9","10 to 14","15 to 19","20 to 24","25 to 29","30 to 34","35 to 39","40 to 44","45 to 49","50 to 54","55 to 59","60 to 64","65 to 69","70 to 74","75 to 79","80 to 84","85 to 89","90+"
"0","British Columbia",2006,"F",2140407,20175,79881,107774,125357,135038,143267,138074,137657,153451,174780,177371,163633,146421,109555,86851,73301,64590,52758,32281,18192
"0","British Columbia",2006,"T",4241794,41198,165704,222343,258314,281821,291358,274571,273329,305557,348007,348908,322902,290278,217957,170186,143234,120422,89697,50448,25560
"0","British Columbia",2007,"M",2127572,21911,86279,113398,132832,145551,149532,141510,136450,151868,168809,174337,163269,145745,116959,86795,70246,57376,37515,19506,7684
"0","British Columbia",2007,"F",2163412,20483,81175,106718,123724,135571,143888,142249,138657,153810,170383,178905,167253,147495,118367,90027,74334,64719,52645,34171,18838
"0","British Columbia",2007,"T",4290984,42394,167454,220116,256556,281122,293420,283759,275107,305678,339192,353242,330522,293240,235326,176822,144580,122095,90160,53677,26522
"0","British Columbia",2008,"M",2158715,22726,87422,113206,131663,144823,151207,147713,138830,151845,163616,177695,167490,148433,124254,91152,71218,58366,38433,20668,7955
"0","British Columbia",2008,"F",2190621,21364,82382,106379,121867,135056,145483,147735,140594,154070,166090,181298,170748,149635,125454,94018,75477,65256,52650,35542,19523
"0","British Columbia",2008,"T",4349336,44090,169804,219585,253530,279879,296690,295448,279424,305915,329706,358993,338238,298068,249708,185170,146695,123622,91083,56210,27478
"0","British Columbia",2009,"M",2190971,23022,89166,113028,129918,144999,153522,154136,142551,150343,160126,179933,170185,152236,130344,95944,72979,58983,39448,21804,8304
"0","British Columbia",2009,"F",2219535,21536,84042,106130,120441,134012,147823,153761,143722,152721,163089,183310,173542,152639,131444,98831,77320,65298,52580,36937,20357
"0","British Columbia",2009,"T",4410506,44558,173208,219158,250359,279011,301345,307897,286273,303064,323215,363243,343727,304875,261788,194775,150299,124281,92028,58741,28661
"0","British Columbia",2010,"M",2219479,23033,91478,112864,127186,146702,154113,158513,146541,148155,158825,178777,172651,155583,137817,100079,75058,59797,40919,22244,9144
"0","British Columbia",2010,"F",2246067,21395,85644,106171,118531,133275,150655,158590,146559,151226,162278,181814,175624,155956,138118,102786,79480,65551,52976,37222,22216
"0","British Columbia",2010,"T",4465546,44428,177122,219035,245717,279977,304768,317103,293100,299381,321103,360591,348275,311539,275935,202865,154538,125348,93895,59466,31360
"0","British Columbia",2011,"M",2237994,22487,93067,113321,124084,148553,153240,157709,150004,145402,159456,174258,175022,159475,143582,104841,77463,60565,42817,22609,10039
"0","British Columbia",2011,"F",2264110,21482,86258,106906,115920,133912,149558,159218,149080,148938,163398,178058,178372,159651,143127,106568,82708,66130,53648,37316,23862
"0","British Columbia",2011,"T",4502104,43969,179325,220227,240004,282465,302798,316927,299084,294340,322854,352316,353394,319126,286709,211409,160171,126695,96465,59925,33901
"0","British Columbia",2012,"M",2268314,22457,92804,114451,121780,147789,159169,158988,153282,145565,159758,172081,177793,163844,145390,113264,80492,61106,44209,23310,10782
"0","British Columbia",2012,"F",2298455,21215,87164,108261,113794,133534,151801,159608,153807,149463,165022,175908,181879,166410,145600,115687,85395,67190,54066,37565,25086
"0","British Columbia",2012,"T",4566769,43672,179968,222712,235574,281323,310970,318596,307089,295028,324780,347989,359672,330254,290990,228951,165887,128296,98275,60875,35868
"0","British Columbia",2013,"M",2297991,22662,92310,115517,120841,145043,163502,160928,157685,146100,158895,168273,181007,168496,147898,120636,85005,62173,45360,24301,11359
"0","British Columbia",2013,"F",2332086,21510,87107,110002,112809,131378,152798,159870,158541,150258,165004,173233,185750,173126,150100,123796,89574,68482,54688,37951,26109
"0","British Columbia",2013,"T",4630077,44172,179417,225519,233650,276421,316300,320798,316226,296358,323899,341506,366757,341622,297998,244432,174579,130655,100048,62252,37468
"0","British Columbia",2014,"M",2333888,22652,92414,117240,120408,143156,167156,165312,162804,148225,156581,166203,183869,172246,151606,126800,89787,63673,46331,25354,12071
"0","British Columbia",2014,"F",2373215,21339,87590,112052,113060,130517,153991,162005,163346,152477,163392,172241,189547,178919,156259,131194,94515,70231,54939,38398,27203
"0","British Columbia",2014,"T",4707103,43991,180004,229292,233468,273673,321147,327317,326150,300702,319973,338444,373416,351165,307865,257994,184302,133904,101270,63752,39274
"0","British Columbia",2015,"M",2365415,23206,93018,119235,119900,142301,166631,168268,166945,150675,153703,165556,184793,175936,155591,134366,93521,65632,47138,26417,12583
"0","British Columbia",2015,"F",2410973,21613,88171,114118,114029,130179,152108,163734,166612,155270,161338,173302,190447,183947,162861,140060,98824,72220,55282,38923,27935
"0","British Columbia",2015,"T",4776388,44819,181189,233353,233929,272480,318739,332002,333557,305945,315041,338858,375240,359883,318452,274426,192345,137852,102420,65340,40518
